,AAPL_pred
2019-12-11,4.183982413476076
2019-12-12,4.1865274696933295
2019-12-13,4.200028969513165
2019-12-16,4.2170021274299305
2019-12-17,4.218965534625558
2019-12-18,4.216573267634633
2019-12-19,4.217573804426865
2019-12-20,4.215500425449885
2019-12-23,4.231687273969546
2019-12-24,4.23263715418147
2019-12-26,4.252283463466061
2019-12-27,4.251903906971363
2019-12-30,4.257821278490949
2019-12-31,4.265101156624881
2020-01-02,4.287661185549211
2020-01-03,4.277891686907914
2020-01-06,4.2858286669510415
2020-01-07,4.281114320619681
2020-01-08,4.297072590938639
2020-01-09,4.3180908574681744
2020-01-10,4.320348906073478
2020-01-13,4.341488258434645
2020-01-14,4.327893284499677
2020-01-15,4.323598557083802
2020-01-16,4.33604692482394
2020-01-17,4.3470572857749055
2020-01-21,4.340257312193252
2020-01-22,4.3438204823632445
2020-01-23,4.348624880732227
2020-01-24,4.345738347185815
2020-01-27,4.315892297441831
2020-01-28,4.343788775763434
2020-01-29,4.36450513699001
2020-01-30,4.363054985643265
2020-01-31,4.317703341024255
2020-02-03,4.314953368953071
2020-02-04,4.347433495798141
2020-02-05,4.355554850975687
2020-02-06,4.367183900491719
2020-02-07,4.353498060422919
2020-02-10,4.358236374869591
2020-02-11,4.352184843900902
2020-02-12,4.375654811340438
2020-02-13,4.368508416360042
2020-02-14,4.368754689427277
2020-02-18,4.350274589264486
2020-02-19,4.364653326149327
2020-02-20,4.354341305267477
2020-02-21,4.331446033102054
2020-02-24,4.282780467758531
2020-02-25,4.248321385733264
2020-02-26,4.264061025245903
2020-02-27,4.196457890999297
2020-02-28,4.195872861803506
2020-03-02,4.2848911262588905
2020-03-03,4.252616746212982
2020-03-04,4.297957397511098
2020-03-05,4.264983019220651
2020-03-06,4.251613630955075
2020-03-09,4.169218695223806
2020-03-10,4.238764717141377
2020-03-11,4.203416557968467
2020-03-12,4.099439061365152
2020-03-13,4.212596554379781
2020-03-16,4.074888348611619
2020-03-17,4.117919184947594
2020-03-18,4.09313469875574
2020-03-19,4.08544301032987
2020-03-20,4.01985283614954
2020-03-23,3.9983797314333396
2020-03-24,4.093985598367877
2020-03-25,4.088461814225075
2020-03-26,4.139746567598902
2020-03-27,4.097463105051475
2020-03-30,4.12560154837146
2020-03-31,4.12355861196128
2020-04-01,4.06950657366802
2020-04-02,4.086055616642521
2020-04-03,4.071580186332045
2020-04-06,4.15521999510732
2020-04-07,4.143570173117379
2020-04-08,4.168842610990195
2020-04-09,4.176033042460363
2020-04-13,4.19547046996817
2020-04-14,4.244739549750647
2020-04-15,4.235570828556105
2020-04-16,4.243484584295626
2020-04-17,4.229823113891016
2020-04-20,4.208847915518347
2020-04-21,4.177449709812842
2020-04-22,4.205846610906658
2020-04-23,4.201963610983088
2020-04-24,4.230424355913476
2020-04-27,4.23113059766188
2020-04-28,4.214788577983032
2020-04-29,4.247105945601832
2020-04-30,4.267982620948664
2020-05-01,4.251752152663577
2020-05-04,4.265801975411333
2020-05-05,4.280699328542416
2020-05-06,4.290963690130595
2020-05-07,4.30125538828873
2020-05-08,4.3247781674843875
2020-05-11,4.340390944210251
2020-05-12,4.328897087180589
2020-05-13,4.3167493153014656
2020-05-14,4.322874075518377
2020-05-15,4.316944244149237
2020-05-18,4.340232453077319
2020-05-19,4.334436969176189
2020-05-20,4.3536988087458335
2020-05-21,4.346215188199816
2020-05-22,4.352632890296965
2020-05-26,4.345836245187251
2020-05-27,4.350183622751127
2020-05-28,4.350623808053407
2020-05-29,4.349649175064767
2020-06-01,4.361872213251376
2020-06-02,4.366491006193504
2020-06-03,4.371980884153046
2020-06-04,4.3633314642943875
2020-06-05,4.391414555019304
2020-06-08,4.3973096616897775
2020-06-09,4.4283989932843
2020-06-10,4.453801290655033
2020-06-11,4.404600218891796
2020-06-12,4.41319651467328
2020-06-15,4.425488026220042
2020-06-16,4.451645149638528
2020-06-17,4.4502523179245586
2020-06-18,4.45065059504288
2020-06-19,4.444919459257678
2020-06-22,4.47074675917962
2020-06-23,4.491866695676191
2020-06-24,4.474057392421138
2020-06-25,4.487245567357041
2020-06-26,4.456037729260455
2020-06-29,4.478822748283815
2020-06-30,4.48713594003959
2020-07-01,4.485242480038253
2020-07-02,4.485242480038253
2020-07-06,4.5116414232784505
2020-07-07,4.508533695198345
2020-07-08,4.531556757993592
2020-07-09,4.535847697587541
2020-07-10,4.537595321540918
2020-07-13,4.532971787518133
2020-07-14,4.549384587161313
2020-07-15,4.556238410229712
2020-07-16,4.543857089083142
2020-07-17,4.54183487949945
2020-07-20,4.562689728380266
2020-07-21,4.54879204447463
2020-07-22,4.551597201896807
2020-07-23,4.5050124986983775
2020-07-24,4.502532028784591
2020-07-27,4.525955731968675
2020-07-28,4.509391825620462
2020-07-29,4.5283788448075795
2020-07-30,4.540406379058915
2020-07-31,4.6399699572923145
2020-08-03,4.664855430606566
2020-08-04,4.671511218854801
2020-08-05,4.675129336489441
2020-08-06,4.709423796527813
2020-08-07,4.686425607358461
2020-08-10,4.700855730903187
2020-08-11,4.670664737638463
2020-08-12,4.7033586049391545
2020-08-13,4.720901421961852
2020-08-14,4.7200099159597215
2020-08-17,4.7173956110587225
2020-08-18,4.725693739252011
2020-08-19,4.726947782664965
2020-08-20,4.748894670370214
2020-08-21,4.799143428313066
2020-08-24,4.811032708376456
2020-08-25,4.802795150449341
2020-08-26,4.816302621770545
2020-08-27,4.804276159153457
2020-08-28,4.802654888097148
2020-08-31,4.836004667189451
2020-09-01,4.875064411480839
2020-09-02,4.854128290784598
2020-09-03,4.770680615792707
2020-09-04,4.771342152573505
2020-09-08,4.701676009146573
2020-09-09,4.740787490574084
2020-09-10,4.707596997328132
2020-09-11,4.694381385398099
2020-09-14,4.723939876667369
2020-09-15,4.725498942304892
2020-09-16,4.695541333916311
2020-09-17,4.67944886762146
2020-09-18,4.647214772681618
2020-09-21,4.6770897803686795
2020-09-22,4.692683393979176
2020-09-23,4.64983204001356
2020-09-24,4.660048564676385
2020-09-25,4.696878151960938
2020-09-28,4.720466748055421
2020-09-29,4.712869935854015
2020-09-30,4.7278330601646275
2020-10-01,4.7362598832106695
2020-10-02,4.70344705511951
2020-10-05,4.733773579558395
2020-10-06,4.704685020355499
2020-10-07,4.7215099198431565
2020-10-08,4.720553697953334
2020-10-09,4.737800007310772
2020-10-13,4.77249883833834
2020-10-14,4.7732419833376465
2020-10-15,4.769273419657947
2020-10-16,4.755173811689694
2020-10-19,4.729300089465996
2020-10-20,4.74240573308464
2020-10-21,4.736944512193469
2020-10-22,4.727315100511709
2020-10-23,4.721162339457958
2020-10-26,4.72124909303292
2020-10-27,4.73463158944465
2020-10-28,4.68721282212079
2020-10-29,4.7235932755553245
2020-10-30,4.665945086608608
2020-11-02,4.665117950226528
2020-11-03,4.680354827035331
2020-11-04,4.720379654613383
2020-11-05,4.755257795704939
2020-11-06,4.754121148062044
2020-11-09,4.733951075989815
2020-11-10,4.730937686040569
2020-11-12,4.758492733701947
2020-11-13,4.758912108317752
2020-11-16,4.767594735421857
2020-11-17,4.760001568445786
2020-11-18,4.748544846711013
2020-11-19,4.753699890520871
2020-11-20,4.742681646586012
2020-11-23,4.712487815400163
2020-11-24,4.7240154150212925
2020-11-25,4.73145484910236
2020-11-30,4.757149800867298
2020-12-01,4.787511515434059
2020-12-02,4.790440728868153
2020-12-03,4.789302592031887
2020-12-04,4.783674218514397
2020-12-07,4.795869484645874
2020-12-08,4.800947496071839
2020-12-09,4.779822140007539
2020-12-10,4.791739718756102
2020-12-11,4.784982149547174
2020-12-14,4.779822140007539
2020-12-15,4.82869842892399
2020-12-16,4.828150943290356
2020-12-17,4.835090285096203
2020-12-18,4.8191124160325405
2020-12-21,4.83143155252528
2020-12-22,4.859498544512956
2020-12-23,4.852497812644583
2020-12-28,4.895321778989036
2020-12-29,4.881917330863035
2020-12-30,4.873354204354952
2020-12-31,4.8656216349227215
2021-01-04,4.840591872360108
2021-01-05,4.8528797460327056
2021-01-06,4.818638666413196
2021-01-07,4.852192375412628
2021-01-08,4.8607864814463415
2021-01-11,4.8372633766692354
2021-01-12,4.835866927118557
2021-01-13,4.8519633256632195
2021-01-14,4.836720621989008
2021-01-15,4.822894907120962
2021-01-19,4.828307511696985
2021-01-21,4.896637390772194
2021-01-22,4.9125836381167165
2021-01-25,4.939891033691281
2021-01-26,4.941568850741409
2021-01-27,4.933855596379697
2021-01-28,4.898243848479345
2021-01-29,4.860104999103133
2021-02-01,4.8764901063672195
2021-02-02,4.882807008836457
2021-02-03,4.8749983567543
2021-02-04,4.9004297540337145
2021-02-08,4.898423221473333
2021-02-09,4.891827907372291
2021-02-10,4.887258755440035
2021-02-11,4.88533640652355
2021-02-12,4.887110978158543
2021-02-16,4.87087581855562
2021-02-17,4.853074706931277
2021-02-18,4.84440050650787
2021-02-19,4.845633162314785
2021-02-22,4.815381290407603
2021-02-23,4.814269532600219
2021-02-24,4.810209121913296
2021-02-25,4.774807173585722
2021-02-26,4.777036376175974
2021-03-02,4.808372637284451
2021-03-03,4.783612054477014
2021-03-04,4.767673791729542
2021-03-05,4.778354808728727
2021-03-08,4.735788116952724
2021-03-09,4.775633276474364
2021-03-10,4.7664245031818915
2021-03-11,4.782792391589858
2021-03-12,4.775137761007811
2021-03-15,4.799300269127188
2021-03-16,4.811962706203062
2021-03-17,4.805491185969977
2021-03-29,4.778107755051113
2021-03-30,4.765757494942972
2021-03-31,4.784349157951623
2021-04-01,4.7912836015969456
2021-04-05,4.814587206593068
2021-04-06,4.817046582174889
2021-04-07,4.830348043650424
2021-04-08,4.849399134768207
2021-04-09,4.86944853445721
2021-04-14,4.8621285827451475
2021-04-15,4.880663522966899
2021-04-16,4.878132483163264
2021-04-19,4.88318817277797
2021-04-20,4.870275043497962
2021-04-21,4.873200856433425
2021-04-22,4.861446715706406
2021-04-23,4.879324276874726
2021-04-26,4.882298255728449
2021-04-27,4.879845211330641
2021-04-28,4.873799760187965
2021-04-29,4.873050870156597
2021-04-30,4.857802257758301
2021-05-03,4.865983777441752
2021-05-04,4.82995697872644
2021-05-05,4.831910532556396
2021-05-06,4.844631835310904
2021-05-07,4.84994502820039
2021-05-10,4.82380155855752
2021-05-11,4.816363898388598
2021-05-12,4.791109154454272
2021-05-13,4.808870069010129
2021-05-14,4.8285206250792365
2021-05-17,4.819218854048112
2021-05-18,4.807909531388907
2021-05-19,4.806627148965456
2021-05-20,4.827421493668184
2021-05-21,4.812544298762741
2021-05-24,4.825770650439279
2021-05-25,4.824195834330697
2021-05-26,4.82380155855752
2021-05-27,4.811347749441504
2021-05-28,4.805985309330137
2021-06-01,4.803333600165376
2021-06-02,4.809590038251705
2021-06-03,4.797361281882033
2021-06-04,4.816204954399032
2021-06-07,4.816284275117201
2021-06-08,4.822934058368557
2021-06-09,4.826006451098631
2021-06-10,4.817950963618195
2021-06-11,4.827735567264525
2021-06-14,4.852016554757348
2021-06-15,4.845557875590058
2021-06-16,4.8494839927515505
2021-06-17,4.862006079269636
2021-06-18,4.85186299929843
2021-06-21,4.8658685645016595
2021-06-22,4.878486757199849
2021-06-23,4.876394944864233
2021-06-24,4.874223548156653
2021-06-25,4.871972290919744
2021-06-28,4.88444055233259
2021-06-29,4.895874952948501
2021-06-30,4.900485291654078
2021-07-01,4.902746538110893
2021-07-02,4.922153220572969
2021-07-06,4.936764188543876
2021-07-07,4.954560421001085
2021-07-08,4.945318041006205
