,MSFT,GOOGL,DEXJPUS,DEXUSUK,DJIA,VIXCLS,AAPL_1DT,AAPL_3DT,AAPL_6DT,AAPL_12DT,SMA_21,SMA_63,SMA_252,EMA_10,EMA_30,EMA_200,RSI_10,RSI_30,RSI_200,apple,sia_cleaned_Comment_tokens_joined_lemmatized_neg,sia_cleaned_Comment_tokens_joined_lemmatized_neu,sia_cleaned_Comment_tokens_joined_lemmatized_pos,sia_cleaned_Comment_tokens_joined_lemmatized_compound,sia_cleaned_title_self_tokens_joined_lemmatized_neg,sia_cleaned_title_self_tokens_joined_lemmatized_neu,sia_cleaned_title_self_tokens_joined_lemmatized_pos,sia_cleaned_title_self_tokens_joined_lemmatized_compound,negative_finbert_comment,neutral_finbert_comment,positive_finbert_comment,finbert_compound
2019-12-11,4.977414999401772,4.205386198225652,4.68831576707476,0.2758118998812936,10.236786903732986,2.7073833121145063,0.008493010204599472,0.0002214892609719854,0.042705473849571796,0.033764958013309254,4.16311808999352,4.081931401471367,3.883730562708076,4.169143190552802,4.143455852978832,3.97164802410353,4.149408373769366,4.176549487005255,4.05125174574756,3.4339872044851463,0.13525,0.71975,0.14475,0.2529,0.03525,0.7595000000000001,0.205,0.914275,0.300685191527009,0.6357406033203006,0.0635741946753114,-0.300685191527009
2019-12-12,4.987515672628943,4.208535338002306,4.692814695840138,0.2725430536089771,10.244664774761748,2.6347624053323777,0.0025450562172535385,0.01686560854487862,0.03646310012623921,0.018928111072638032,4.164822584418191,4.085389859763387,3.8858034188327935,4.17232653019482,4.1462913556504395,3.974030497099269,4.165070709116976,4.181554172110584,4.052341932439568,3.4339872044851463,0.0584285714285714,0.6651428571428571,0.1335714285714285,0.4897,0.0281428571428571,0.6857142857142857,0.1431428571428571,0.4848142857142857,0.0775405165872403,0.7844912239483425,0.1379682759621313,-0.0775405165872403
2019-12-13,4.995898639965916,4.207333227541592,4.69391339582248,0.2888563826795496,10.244783138085038,2.5360749363624,0.01350149981983595,0.02453956624168896,0.035399967757942186,0.04026936687484195,4.166735316583446,4.089000365968338,3.8879087847236575,4.177420754359582,4.149846814216969,3.9765505613805043,4.239494725346238,4.207231300320342,4.05812674385421,3.4339872044851463,0.037,0.3623333333333333,0.1006666666666666,0.169,0.0559999999999999,0.3948333333333333,0.0491666666666666,-0.1206666666666666,0.1828465647995472,0.7565405517816544,0.0606128691385189,-0.1828465647995472
2019-12-16,5.002348899990922,4.21754918542143,4.697202271434585,0.28743204119657156,10.248349142771835,2.4965057856313524,0.016973157916765125,0.03301971395385461,0.0332412032148266,0.043899650939946966,4.1698116535150636,4.092849152046064,3.8902082939653817,4.184734877909148,4.154318194087472,3.9792517474708693,4.3099813118288,4.236671552851024,4.065368658628596,3.4965075614664802,0.1354999999999999,0.593125,0.1465,0.2468375,0.053,0.736125,0.210875,0.646775,0.2642565765418112,0.6447422625496984,0.0910011638188734,-0.2642565765418112
2019-12-17,4.996933555825636,4.213270223731874,4.696107180980193,0.2712477659883562,10.249455985789774,2.5087859235779435,0.0019634071956273758,0.03243806493222845,0.04930367347710707,0.04806792807147531,4.172421434942553,4.096586337911054,3.8925430752066252,4.191046421446165,4.158617503122559,3.9819436238726515,4.317170608891648,4.2399324986167635,4.06620573711604,3.4657359027997265,0.0772857142857142,0.391,0.1032857142857142,0.1147571428571428,0.0944285714285714,0.6888571428571428,0.217,0.6402428571428571,0.1195738304938588,0.8255153809274945,0.0549107907073838,-0.1195738304938588
2019-12-18,4.994862548603206,4.211068189971175,4.696654876110269,0.26834633614503856,10.248469195531447,2.5321082512722946,-0.002392266990924874,0.016544298121467627,0.041083864363156586,0.057305689034639506,4.174667682089061,4.10038192262956,3.8948182411741525,4.195736396519444,4.162459668654402,3.9845715373963593,4.289127040390384,4.230737022660349,4.064774177011826,3.4657359027997265,0.08425,0.469,0.197,0.723175,0.07425,0.804,0.12175,0.512875,0.2360807713121175,0.7136386409401894,0.0502805761061608,-0.2360807713121175
2019-12-19,5.00350595709889,4.214413462573144,4.693455750855452,0.26497623491614286,10.25333282728801,2.5257286443082556,0.0010005367922323316,0.0005716769969348334,0.033591390950789446,0.07629686480036124,4.177101929552805,4.10438537917988,3.8971933484235577,4.199742468618514,4.166108565303023,3.9871790440750927,4.293828726625245,4.232525712448563,4.065204477392473,3.970291913552122,0.0,0.0,0.0,0.0,0.042,0.5306666666666667,0.094,0.3878333333333333,0.1873091608285904,0.7415207028388977,0.0711701288819313,-0.1873091608285904
2019-12-20,5.0143642946375016,4.210557649610676,4.695467823968872,0.26512966798126947,10.256082333920993,2.5265283244788197,-0.0020733789769806776,-0.00346510917567322,0.02897295575655523,0.06543605588279444,4.179975345102258,4.108273792806923,3.8996294352589844,4.202626083032692,4.1693698203916645,3.989728038565688,4.265067682677239,4.224115317035238,4.063955213302162,4.007333185232471,0.016,0.304,0.08,0.37236,0.1427999999999999,0.5538000000000001,0.1034,-0.09364,0.2064923949539661,0.7265650033950806,0.0669426009058952,-0.2064923949539661
2019-12-23,5.0143642946375016,4.210121146558159,4.694919478131699,0.25595918025583286,10.259465803840898,2.534490149976828,0.016186848519661012,0.015114006334912666,0.03165830445638029,0.06705827221432248,4.183850641443263,4.1124996209768785,3.9022649337732536,4.20797314161172,4.17350963674065,3.99244826149097,4.34241272188927,4.253266715843635,4.070945762233751,4.110873864173311,0.1035,0.7905,0.106,0.0852499999999999,0.109,0.353,0.0385,-0.2787,0.1971980668604374,0.7617185413837433,0.041083407588303,-0.1971980668604374
2019-12-24,5.014173744813518,4.205519895602919,4.694828057918627,0.2588967210200277,10.258201324633925,2.5392369943330477,0.0009498802119241034,0.015063349754604438,0.01563502675153927,0.04887622996636587,4.187798554566491,4.116515149966137,3.9049731679501596,4.21250299095273,4.177431646351677,3.9951461252873353,4.346277740365582,4.254905881293392,4.0713557673796,4.204692619390966,0.1105,0.5285000000000001,0.1944999999999999,0.6619333333333334,0.0626666666666666,0.4088333333333334,0.1948333333333333,0.60995,0.0982091582069794,0.847538540760676,0.0542523007219036,-0.0982091582069794
